r1	r2l	r2r	dr	rsr	c2	dc2
150	20	24	2	22	6.81	0.61
1500	215	222.4	3.7	218.7	6.85	0.11
3000	434	443	4.5	438.5	6.84	0.07
6000	868	884	8	876	6.84	0.06
